EXERCÍCIO,CÓDIGO ÓRGÃO SUPERIOR,NOME ÓRGÃO SUPERIOR,CÓDIGO ÓRGÃO SUBORDINADO,NOME ÓRGÃO SUBORDINADO,CÓDIGO UNIDADE ORÇAMENTÁRIA,NOME UNIDADE ORÇAMENTÁRIA,CÓDIGO FUNÇÃO,NOME FUNÇÃO,CÓDIGO SUBFUNÇÃO,NOME SUBFUNÇÃO,CÓDIGO PROGRAMA ORÇAMENTÁRIO,NOME PROGRAMA ORÇAMENTÁRIO,CÓDIGO AÇÃO,NOME AÇÃO,CÓDIGO CATEGORIA ECONÔMICA,NOME CATEGORIA ECONÔMICA,CÓDIGO GRUPO DE DESPESA,NOME GRUPO DE DESPESA,CÓDIGO ELEMENTO DE DESPESA,NOME ELEMENTO DE DESPESA,ORÇAMENTO INICIAL (R$),ORÇAMENTO ATUALIZADO (R$),ORÇAMENTO EMPENHADO (R$),ORÇAMENTO REALIZADO (R$),% REALIZADO DO ORÇAMENTO (COM RELAÇÃO AO ORÇAMENTO ATUALIZADO)
2026,26000,Ministério da Educação,26255,Universidade Federal dos Vales do Jequitinhonha e Mucuri,26255,UNIVERSIDADE FED.VALES JEQUITINHONHA E MUCURI,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,39,Outros Serviços de Terceiros - Pessoa Jurídica,994.5,994.5,994.5,0.0,0.0
2026,26000,Ministério da Educação,26449,Universidade Federal do Cariri,26449,UNIVERSIDADE FEDERAL DO CARIRI - UFCA,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,121092910.0,121092910.0,121092910.0,7678286.34,6.34
2026,26000,Ministério da Educação,26233,Universidade Federal do Ceará,26233,UNIVERSIDADE FEDERAL DO CEARA,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,39,Outros Serviços de Terceiros - Pessoa Jurídica,45751.89,45751.89,45751.89,9505.0,20.78
2026,26000,Ministério da Educação,26235,Universidade Federal de Goiás,26235,UNIVERSIDADE FEDERAL DE GOIAS,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,738038576.88,738038576.88,738038576.88,40393074.14,5.47
2026,26000,Ministério da Educação,26249,Universidade Federal Rural do Rio de Janeiro,26249,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,39,Outros Serviços de Terceiros - Pessoa Jurídica,11000.0,11000.0,3928.96,0.0,0.0
2026,26000,Ministério da Educação,26266,Fundação Universidade Federal do Pampa,26266,FUNDACAO UNIVERSIDADE FEDERAL DO PAMPA,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,353026159.0,353026159.0,353026159.0,21159763.34,5.99
2026,26000,Ministério da Educação,26239,Universidade Federal do Pará,26239,UNIVERSIDADE FEDERAL DO PARA,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,39,Outros Serviços de Terceiros - Pessoa Jurídica,135000.0,135000.0,109000.0,1247.38,0.92
2026,26000,Ministério da Educação,26281,Fundação Universidade Federal de Sergipe,26281,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,582546132.38,582546132.38,572482500.0,28130842.18,4.83
2026,26000,Ministério da Educação,26273,Universidade Federal do Rio Grande,26273,UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,12,Educação,364,Ensino superior,5113,"EDUCACAO SUPERIOR: QUALIDADE, DEMOCRACIA, EQUIDADE E SUSTENT",20RK,FUNCIONAMENTO DE INSTITUICOES FEDERAIS DE ENSINO SUPERIOR,3,DESPESAS CORRENTES,3,Outras Despesas Correntes,39,Outros Serviços de Terceiros - Pessoa Jurídica,29405.0,29405.0,10405.0,6430.0,21.87
2026,26000,Ministério da Educação,26441,Universidade Federal do Oeste do Pará,26441,UNIVERSIDADE FEDERAL DO OESTE DO PARA,12,Educação,364,Ensino superior,32,PROGRAMA DE GESTAO E MANUTENCAO DO PODER EXECUTIVO,20TP,ATIVOS CIVIS DA UNIAO,3,DESPESAS CORRENTES,1,Pessoal e Encargos Sociais,11,Vencimentos e Vantagens Fixas - Pessoal Civil,191736211.19,191736211.19,191736211.19,12763952.6,6.66
